example_id,sentence,source_text,source_norm,source_type,relation,target_text,target_norm,target_type
136,"Ongoing clinical trials with Abeta antibodies ( solanezumab , gantenerumab , crenezumab ) seem to be promising , while vaccines against the tau protein ( AADvac1 and ACI-35 ) are now in early-stage trials .",ACI-35,aci-35,gene,hyponym_of,tau protein,tau protein,gene
137,"Interesting results have also been achieved in trials involving small molecules such as inhibitors of beta-secretase ( MK-8931 , E2609 ) , a combination of 5-HT6 antagonist ( idalopirdine ) with donepezil , inhibition of advanced glycation end product receptors by azeliragon or modulation of the acetylcholine response of alpha-7 nicotinic acetylcholine receptors by encenicline .",idalopirdine,idalopirdine,drug,abbreviation_for,5-HT6 antagonist,5-ht6 antagonist,drug
140,Sleep-Wake Patterns and Cognition of Older Adults with Amnestic Mild Cognitive Impairment ( aMCI ) : A Comparison with Cognitively Healthy Adults and Moderate Alzheimer's Disease Patients .,aMCI,amci,disease,abbreviation_for,Amnestic Mild Cognitive Impairment,amnestic mild cognitive impairment,disease
145,"METHODS : Cognitive ability in a variety of domains of amnestic mild cognitive impairment ( aMCI ) individuals , moderate AD patients and cognitively healthy adults was assessed with the Mini-Mental-State - Examination and five computerised tests ( CANTABeclipse ) .",aMCI,amci,disease,abbreviation_for,amnestic mild cognitive impairment,amnestic mild cognitive impairment,disease
159,BACKGROUND : Apathy is a multidimensional syndrome referring to a primary lack of motivation that occurs frequently in survivors of stroke .,Apathy,apathy,disease,hyponym_of,multidimensional syndrome,multidimensional syndrome,disease
160,Higher C-reactive protein ( CRP ) level was associated with higher apathy scores among Alzheimer disease cases .,C-reactive protein,c-reactive protein,gene,associated_with,Alzheimer disease,alzheimer disease,disease
160,Higher C-reactive protein ( CRP ) level was associated with higher apathy scores among Alzheimer disease cases .,CRP,crp,gene,abbreviation_for,C-reactive protein,c-reactive protein,gene
162,"So , we hypothesized an association between CRP and poststroke apathy ( PSA ) .",CRP,crp,method,associated_with,poststroke apathy,poststroke apathy,disease
162,"So , we hypothesized an association between CRP and poststroke apathy ( PSA ) .",PSA,psa,disease,abbreviation_for,poststroke apathy,poststroke apathy,disease
164,"Apathy symptoms were assessed at baseline and at 1 , 3 , and 6 months after stoke using the Apathy Evaluation Scale-Clinical ( AES-C ) .",AES-C,aes-c,method,abbreviation_for,Apathy Evaluation Scale-Clinical,apathy evaluation scale-clinical,method
165,"Demographic and clinical information were obtained using the National Institutes of Health Stroke Scale ( NIHSS ) scores , Barthel Index ( BI ) scores , Mini-Mental State Examination ( MMSE ) scores , Hamilton Depression Scale ( HAMD ) scores , and Hamilton Anxiety Scale ( HAMA ) scores .",NIHSS,nihss,method,abbreviation_for,National Institutes of Health Stroke Scale,national institutes of health stroke scale,method
165,"Demographic and clinical information were obtained using the National Institutes of Health Stroke Scale ( NIHSS ) scores , Barthel Index ( BI ) scores , Mini-Mental State Examination ( MMSE ) scores , Hamilton Depression Scale ( HAMD ) scores , and Hamilton Anxiety Scale ( HAMA ) scores .",BI,bi,method,abbreviation_for,Barthel Index,barthel index,method
165,"Demographic and clinical information were obtained using the National Institutes of Health Stroke Scale ( NIHSS ) scores , Barthel Index ( BI ) scores , Mini-Mental State Examination ( MMSE ) scores , Hamilton Depression Scale ( HAMD ) scores , and Hamilton Anxiety Scale ( HAMA ) scores .",MMSE,mmse,method,abbreviation_for,Mini-Mental State Examination,mini-mental state examination,method
165,"Demographic and clinical information were obtained using the National Institutes of Health Stroke Scale ( NIHSS ) scores , Barthel Index ( BI ) scores , Mini-Mental State Examination ( MMSE ) scores , Hamilton Depression Scale ( HAMD ) scores , and Hamilton Anxiety Scale ( HAMA ) scores .",HAMD,hamd,method,abbreviation_for,Hamilton Depression Scale,hamilton depression scale,method
165,"Demographic and clinical information were obtained using the National Institutes of Health Stroke Scale ( NIHSS ) scores , Barthel Index ( BI ) scores , Mini-Mental State Examination ( MMSE ) scores , Hamilton Depression Scale ( HAMD ) scores , and Hamilton Anxiety Scale ( HAMA ) scores .",HAMA,hama,method,abbreviation_for,Hamilton Anxiety Scale,hamilton anxiety scale,method
168,"RESULTS : Apathy at baseline was significantly associated with body mass index ( BMI ) , NIHSS , BI , MMSE , HAMD , and CRP ( P < . 05 ) upon admission .",Apathy,apathy,disease,associated_with,NIHSS,nihss,disease
168,"RESULTS : Apathy at baseline was significantly associated with body mass index ( BMI ) , NIHSS , BI , MMSE , HAMD , and CRP ( P < . 05 ) upon admission .",Apathy,apathy,disease,associated_with,BI,bi,other
168,"RESULTS : Apathy at baseline was significantly associated with body mass index ( BMI ) , NIHSS , BI , MMSE , HAMD , and CRP ( P < . 05 ) upon admission .",Apathy,apathy,disease,associated_with,MMSE,mmse,method
168,"RESULTS : Apathy at baseline was significantly associated with body mass index ( BMI ) , NIHSS , BI , MMSE , HAMD , and CRP ( P < . 05 ) upon admission .",Apathy,apathy,disease,associated_with,HAMD,hamd,disease
168,"RESULTS : Apathy at baseline was significantly associated with body mass index ( BMI ) , NIHSS , BI , MMSE , HAMD , and CRP ( P < . 05 ) upon admission .",Apathy,apathy,disease,associated_with,CRP,crp,disease
168,"RESULTS : Apathy at baseline was significantly associated with body mass index ( BMI ) , NIHSS , BI , MMSE , HAMD , and CRP ( P < . 05 ) upon admission .",Apathy,apathy,disease,associated_with,body mass index,body mass index,other
168,"RESULTS : Apathy at baseline was significantly associated with body mass index ( BMI ) , NIHSS , BI , MMSE , HAMD , and CRP ( P < . 05 ) upon admission .",BMI,bmi,other,abbreviation_for,body mass index,body mass index,other
169,"PSA at 6 months was significantly associated with elevated CRP concentrations , high AES-C score , and low BI score ( P < . 05 ) upon admission .",PSA,psa,disease,associated_with,CRP concentrations,crp concentrations,other
171,"CONCLUSIONS : CRP , BMI , MMSE , depression , and disability are closely related to apathy during the acute stage of ischemic stroke .",CRP,crp,disease,associated_with,apathy,apathy,disease
171,"CONCLUSIONS : CRP , BMI , MMSE , depression , and disability are closely related to apathy during the acute stage of ischemic stroke .",BMI,bmi,other,associated_with,apathy,apathy,disease
171,"CONCLUSIONS : CRP , BMI , MMSE , depression , and disability are closely related to apathy during the acute stage of ischemic stroke .",MMSE,mmse,other,associated_with,apathy,apathy,disease
171,"CONCLUSIONS : CRP , BMI , MMSE , depression , and disability are closely related to apathy during the acute stage of ischemic stroke .",depression,depression,disease,associated_with,apathy,apathy,disease
171,"CONCLUSIONS : CRP , BMI , MMSE , depression , and disability are closely related to apathy during the acute stage of ischemic stroke .",disability,disability,disease,associated_with,apathy,apathy,disease
172,"Lower BI scores , higher CRP concentrations , and apathy in acute stroke phase increased the risk of PSA at 6 months .",apathy,apathy,disease,risk_factor_of,PSA,psa,disease
174,Immunotherapy targeting Abeta42 is drawing attention as a possible therapeutic approach for Alzheimer's disease ( AD ) .,Immunotherapy targeting Abeta42,immunotherapy targeting abeta42,method,treatment_for,Alzheimer's disease,alzheimer's disease,disease
174,Immunotherapy targeting Abeta42 is drawing attention as a possible therapeutic approach for Alzheimer's disease ( AD ) .,AD,ad,disease,abbreviation_for,Alzheimer's disease,alzheimer's disease,disease
183,"Furthermore , the single intravenous administration of 24B3 suppressed the memory deficit in AD mice .",24B3,24b3,drug,treatment_for,memory deficit,memory deficit,disease
189,"The aim of this study was to establish the test-retest reliability of the National Aeronautics and Space Administration Task Load Index ( NASA-TLX ) and Index of Cognitive Activity ( ICA ) , extracted from pupillary size .",NASA-TLX,nasa-tlx,method,abbreviation_for,National Aeronautics and Space Administration Task Load Index,national aeronautics and space administration task load index,method
189,"The aim of this study was to establish the test-retest reliability of the National Aeronautics and Space Administration Task Load Index ( NASA-TLX ) and Index of Cognitive Activity ( ICA ) , extracted from pupillary size .",ICA,ica,other,abbreviation_for,Index of Cognitive Activity,index of cognitive activity,method
190,The convergent validity of these measures against event-related potentials ( ERPs ) was also investigated .,ERPs,erps,other,abbreviation_for,event-related potentials,event-related potentials,other
192,"The intraclass correlation coefficients ( ICC ) values of the NASA-TLX ranged between 0 . 71 and 0 . 81 , demonstrating good to excellent reliability .",ICC,icc,other,abbreviation_for,intraclass correlation coefficients,intraclass correlation coefficients,other
201,"Sarcopenia is an age-related loss of skeletal muscle mass , which is accelerated by chronic inflammation and its resulting cascade of cytokines .",Sarcopenia,sarcopenia,disease,hyponym_of,age-related loss of skeletal muscle mass,age-related loss of skeletal muscle mass,disease
202,"Skeletal muscle loss results in insulin resistance , hyperglycemia , and altered mitochondrial glucose signaling pathways .",Skeletal muscle loss,skeletal muscle loss,disease,risk_factor_of,hyperglycemia,hyperglycemia,disease
202,"Skeletal muscle loss results in insulin resistance , hyperglycemia , and altered mitochondrial glucose signaling pathways .",Skeletal muscle loss,skeletal muscle loss,disease,risk_factor_of,insulin resistance,insulin resistance,disease
204,"Neurogenesis that provides neuronal plasticity is impaired in the diabetic brain , while insulin resistance markers such as insulin-like growth factor ( IGF-1 ) and insulin receptor substrate ( IRS-1 ) are associated with poor cognitive performance .",insulin-like growth factor,insulin-like growth factor,gene,associated_with,poor cognitive performance,poor cognitive performance,other
204,"Neurogenesis that provides neuronal plasticity is impaired in the diabetic brain , while insulin resistance markers such as insulin-like growth factor ( IGF-1 ) and insulin receptor substrate ( IRS-1 ) are associated with poor cognitive performance .",IGF-1,igf-1,gene,abbreviation_for,insulin-like growth factor,insulin-like growth factor,gene
204,"Neurogenesis that provides neuronal plasticity is impaired in the diabetic brain , while insulin resistance markers such as insulin-like growth factor ( IGF-1 ) and insulin receptor substrate ( IRS-1 ) are associated with poor cognitive performance .",insulin receptor substrate,insulin receptor substrate,other,associated_with,poor cognitive performance,poor cognitive performance,other
204,"Neurogenesis that provides neuronal plasticity is impaired in the diabetic brain , while insulin resistance markers such as insulin-like growth factor ( IGF-1 ) and insulin receptor substrate ( IRS-1 ) are associated with poor cognitive performance .",IRS-1,irs-1,other,abbreviation_for,insulin receptor substrate,insulin receptor substrate,other
211,"BACKGROUND : Depression is a common comorbid psychiatric symptom in patients with Alzheimer's disease ( AD ) , and the prevalence of depression is higher among people with AD compared with healthy older adults .",Depression,depression,disease,hyponym_of,psychiatric symptom,psychiatric symptom,disease
211,"BACKGROUND : Depression is a common comorbid psychiatric symptom in patients with Alzheimer's disease ( AD ) , and the prevalence of depression is higher among people with AD compared with healthy older adults .",Depression,depression,disease,characteristic_of,Alzheimer's disease,alzheimer's disease,disease
211,"BACKGROUND : Depression is a common comorbid psychiatric symptom in patients with Alzheimer's disease ( AD ) , and the prevalence of depression is higher among people with AD compared with healthy older adults .",AD,ad,disease,abbreviation_for,Alzheimer's disease,alzheimer's disease,disease
212,"Comorbid depression in AD may increase the risk of cognitive decline , impair patients ' function , and reduce their quality of life .",depression,depression,disease,risk_factor_of,cognitive decline,cognitive decline,disease
212,"Comorbid depression in AD may increase the risk of cognitive decline , impair patients ' function , and reduce their quality of life .",AD,ad,disease,risk_factor_of,cognitive decline,cognitive decline,disease
215,"METHODS : Thirty-seven patients were evaluated using the Neuropsychiatric Inventory ( NPI ) and Hamilton Depression Rating Scale ( HAMD-17 ) , and divided into two groups : 17 AD patients with depression ( D-AD ) and 20 non-depressed AD patients ( nD-AD ) .",NPI,npi,method,abbreviation_for,Neuropsychiatric Inventory,neuropsychiatric inventory,method
215,"METHODS : Thirty-seven patients were evaluated using the Neuropsychiatric Inventory ( NPI ) and Hamilton Depression Rating Scale ( HAMD-17 ) , and divided into two groups : 17 AD patients with depression ( D-AD ) and 20 non-depressed AD patients ( nD-AD ) .",HAMD-17,hamd-17,method,abbreviation_for,Hamilton Depression Rating Scale,hamilton depression rating scale,method
215,"METHODS : Thirty-seven patients were evaluated using the Neuropsychiatric Inventory ( NPI ) and Hamilton Depression Rating Scale ( HAMD-17 ) , and divided into two groups : 17 AD patients with depression ( D-AD ) and 20 non-depressed AD patients ( nD-AD ) .",nD-AD,nd-ad,disease,abbreviation_for,non-depressed AD,non-depressed ad,disease
216,"Using proton magnetic resonance spectroscopy , we characterized neurometabolites in the anterior cingulate gyrus ( ACG ) of D-AD and nD-AD patients .",ACG,acg,other,abbreviation_for,anterior cingulate gyrus,anterior cingulate gyrus,other
222,"BACKGROUND : We have obtained previous evidence of limbic dysfunction in middle-aged , asymptomatic offspring of late-onset Alzheimer's disease ( LOAD ) patients , and failure to recover from proactive semantic interference has been shown to be a sensitive cognitive test in other groups at risk for LOAD .",LOAD,load,disease,abbreviation_for,late-onset Alzheimer's disease,late-onset alzheimer's disease,disease
223,OBJECTIVE : To assess the effects of specific proactive semantic interference deficits as they relate to functional magnetic resonance imaging ( fMRI ) neocortical and limbic functional connectivity in middle aged offspring of individuals with LOAD ( O-LOAD ) and age-equivalent controls .,proactive semantic interference deficits,proactive semantic interference deficits,disease,associated_with,functional magnetic resonance imaging,functional magnetic resonance imaging,method
223,OBJECTIVE : To assess the effects of specific proactive semantic interference deficits as they relate to functional magnetic resonance imaging ( fMRI ) neocortical and limbic functional connectivity in middle aged offspring of individuals with LOAD ( O-LOAD ) and age-equivalent controls .,fMRI,fmri,method,abbreviation_for,functional magnetic resonance imaging,functional magnetic resonance imaging,method
223,OBJECTIVE : To assess the effects of specific proactive semantic interference deficits as they relate to functional magnetic resonance imaging ( fMRI ) neocortical and limbic functional connectivity in middle aged offspring of individuals with LOAD ( O-LOAD ) and age-equivalent controls .,O-LOAD,o-load,disease,abbreviation_for,LOAD,load,disease
224,"METHODS : We examined 21 O-LOAD and 20 controls without family history of neurodegenerative disorders ( CS ) on traditional measures of cognitive functioning and the LASSI-L , a novel semantic interference test uniquely sensitive to the failure to recover from proactive interference ( frPSI ) .",CS,cs,disease,abbreviation_for,neurodegenerative disorders,neurodegenerative disorders,disease
224,"METHODS : We examined 21 O-LOAD and 20 controls without family history of neurodegenerative disorders ( CS ) on traditional measures of cognitive functioning and the LASSI-L , a novel semantic interference test uniquely sensitive to the failure to recover from proactive interference ( frPSI ) .",LASSI-L,lassi-l,method,help_diagnose,neurodegenerative disorders,neurodegenerative disorders,disease
230,"CONCLUSION : The present results suggest that both semantic interference deficits and connectivity abnormalities might reflect limbic circuit dysfunction as a very early clinical signature of LOAD pathology , as previously demonstrated for other limbic phenotypes , such as sleep and circadian alterations .",limbic circuit dysfunction,limbic circuit dysfunction,disease,characteristic_of,LOAD,load,disease
232,"Alzheimer's disease is a complex neurodegenerative disorder characterized by a multi-factorial etiology , not completely understood to date .",Alzheimer's disease,alzheimer's disease,disease,hyponym_of,neurodegenerative disorder,neurodegenerative disorder,disease
237,"Moreover , the suitability of metabolomics to unravel the complex pathology underlying to Alzheimer's disease is also presented .",metabolomics,metabolomics,method,help_diagnose,Alzheimer's disease,alzheimer's disease,disease
239,OBJECTIVE : To investigate the possible association between osteoarthritis ( OA ) and the risk of dementia .,OA,oa,disease,abbreviation_for,osteoarthritis,osteoarthritis,disease
250,"OA was associated with a significantly increased risk for dementia ( OR = 1 . 20 ; 95 % confidence interval ( CI ) , 1 . 03-1 . 39 , I = 95 . 6 % , P < . 05 ) .",OA,oa,disease,risk_factor_of,dementia,dementia,disease
253,CONCLUSIONS : There is an association between osteoarthritis and the risk of dementia .,osteoarthritis,osteoarthritis,disease,associated_with,dementia,dementia,disease
257,OBJECTIVE : Episodic memory is impaired in Alzheimer's disease ( AD ) dementia but thought to be relatively spared in behavioral variant frontotemporal dementia ( bvFTD ) .,AD,ad,disease,abbreviation_for,Alzheimer's disease,alzheimer's disease,disease
257,OBJECTIVE : Episodic memory is impaired in Alzheimer's disease ( AD ) dementia but thought to be relatively spared in behavioral variant frontotemporal dementia ( bvFTD ) .,bvFTD,bvftd,disease,abbreviation_for,behavioral variant frontotemporal dementia,behavioral variant frontotemporal dementia,disease
266,"Discriminability was associated with memory for both patient groups ( median correlation coefficient r = . 34 ) and additionally associated with language ( r = . 31 ) , but not executive functioning ( r = - . 03 ) in bvFTD .",Discriminability,discriminability,other,associated_with,language,language,other
270,Echinacoside ameliorates the memory impairment and cholinergic deficit induced by amyloid beta peptides via the inhibition of amyloid deposition and toxicology .,Echinacoside,echinacoside,drug,treatment_for,memory impairment,memory impairment,disease
270,Echinacoside ameliorates the memory impairment and cholinergic deficit induced by amyloid beta peptides via the inhibition of amyloid deposition and toxicology .,Echinacoside,echinacoside,drug,treatment_for,cholinergic deficit,cholinergic deficit,disease
271,Echinacoside is a phenylethanoid glycoside and possesses neuroprotective activity in vitro and in vivo .,Echinacoside,echinacoside,drug,hyponym_of,phenylethanoid glycoside,phenylethanoid glycoside,drug
